entropy,id,method,t,truth,user_id,y
0.7761770002572678,118,NONE,6156,0,9,0
0.6980794398272951,119,BIM_ENTROPY,5760,1,9,0
0.09841053232066756,120,NONE,3831,0,9,1
0.07150926723414727,121,NONE,4895,0,9,0
0.3962371785550497,122,NONE,5748,0,9,0
0.11083768637934698,123,BIM_ENTROPY,3463,1,9,1
0.3235534278140065,124,BIM,1285,1,9,1
0.1803894811020011,125,BIM_ENTROPY,6803,1,9,1
0.08667688280891712,126,NONE,6001,0,9,0
0.3189114215724657,127,BIM_ENTROPY,5712,1,9,0
0.32777038288162325,128,BIM,5411,1,9,1
0.6578673616626213,129,BIM_ENTROPY,5583,1,9,0
0.9154707441751212,130,NONE,6390,0,9,0
0.4900280757485934,131,NONE,5710,0,9,0
0.7624523215623986,132,BIM_ENTROPY,5984,1,9,0
0.17553494927349805,133,NONE,5829,0,9,0
0.3756893099629758,134,BIM_ENTROPY,6236,1,9,0
0.3235534278140065,135,BIM_ENTROPY,6144,1,9,1
0.3661704007785148,136,BIM,6311,1,9,0
0.3661704007785148,137,BIM_ENTROPY,5895,1,9,0
0.3189114215724657,138,NONE,6206,0,9,1
0.4189438596883704,139,BIM,5926,1,9,0
0.15080368228543306,140,BIM_ENTROPY,5123,1,9,1
0.12825359895303184,141,NONE,5604,0,9,0
0.720416997572734,142,BIM_ENTROPY,5900,1,9,1
0.3831612621782754,143,NONE,6861,0,9,1
0.5307323184304427,144,BIM,6274,1,9,0
0.14213487544882047,145,BIM,3084,1,9,1
0.48331674142347403,146,BIM_ENTROPY,7770,1,9,0
0.530340823928144,147,BIM_ENTROPY,6182,1,9,0
0.3294929586917372,148,BIM,3863,1,9,1
0.09841053232066756,149,BIM_ENTROPY,2420,1,9,1
0.32777038288162325,150,NONE,6049,0,9,0
0.5341550989362535,151,NONE,5991,0,9,0
0.7624523215623986,152,BIM,6233,1,9,0
0.1803894811020011,153,BIM,5944,1,9,0
0.11083768637934698,154,NONE,5795,0,9,0
0.35734499614098275,155,BIM,4708,1,9,1
0.5341550989362535,156,BIM,4968,1,9,1
0.6980794398272951,157,BIM,5798,1,9,1
0.5350723146273532,158,BIM,4294,1,9,1
0.5931141709824275,159,NONE,6086,0,9,0
0.26251384212704554,160,BIM,2080,1,9,1
0.3139897764007114,161,BIM,2401,1,9,1
0.3838100244963703,162,BIM_ENTROPY,6077,1,9,0
0.3294929586917372,163,BIM_ENTROPY,5605,1,9,0
0.2009597208084921,164,BIM_ENTROPY,6000,1,9,0
0.16092661155915486,165,NONE,5802,0,9,0
0.20658605608438385,166,BIM,5563,1,9,1
0.12390241719891275,167,NONE,5896,0,9,0
0.1170009284012483,168,BIM,2550,1,9,1
0.2574020424827463,169,BIM_ENTROPY,5705,1,9,0
0.5801053679489043,170,NONE,6508,0,9,0
0.374201630854241,171,BIM,2845,1,9,1
0.4189438596883704,172,BIM_ENTROPY,6178,1,9,0
0.4900280757485934,173,BIM,6133,1,9,0
0.8828089171262067,174,NONE,6151,0,9,0
0.48331674142347403,175,NONE,6069,0,9,1
0.4086867037281462,176,BIM_ENTROPY,6333,1,9,0
0.5801053679489043,177,BIM_ENTROPY,5766,1,9,0
0.2479949888703705,178,BIM,3435,1,9,1
0.2961376270958938,179,BIM_ENTROPY,6224,1,9,0
0.7761770002572678,180,BIM,5944,1,9,0
0.09841053232066756,181,BIM,4071,1,9,1
0.2450755584389437,182,BIM,1915,1,9,1
0.8175859330432546,183,BIM,5675,1,9,0
